R_kpc,r_frac,chi_raw,chi_smooth,chi_used,mask_outer,L_adapt_kpc,L_eff_kpc,galaxy,L0_kpc,alpha,sigma_idx,taper_on,taper_r0,taper_k,mu,kernel,Rd_star_kpc
8.469449996948242,0.45762712039083336,0.45356310496098745,0.4328062925490712,0.45356310496098745,3.794055365890116e-09,68.55389157618328,68.55389207489708,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
9.09681701660156,0.49152544469,0.3934727684441585,0.4178624541417116,0.3934727684441585,5.71283993701732e-08,75.09243217560935,75.09243931137877,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
9.724184036254883,0.5254237689891669,0.42156389986725545,0.4092146138824273,0.42156389986725545,8.602013552706001e-07,71.88716197894767,71.88727218178457,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
10.351550102233887,0.55932204175875,0.40119358108336245,0.40144229230026934,0.40119358108336245,1.2952138976561576e-05,74.18332851902744,74.18495811404203,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
10.978917121887209,0.5932203660579168,0.3755122023015977,0.3990653158766187,0.3755122023015977,0.00019498932905191014,77.29597229436477,77.31989827039907,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
11.60628318786621,0.6271186388274999,0.43432264911773905,0.4032710068309643,0.43432264911773905,0.0029279839259871193,70.52000099844895,70.89911635426232,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
12.233650207519531,0.6610169631266667,0.38479791539575203,0.3965609542428207,0.38479791539575203,0.042344768352291534,76.14082436422511,81.38561246482779,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
12.861017227172852,0.6949152874258334,0.38152186796208104,0.3892912354178643,0.38152186796208104,0.39968518586751106,76.54440387100729,125.88777675620813,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
13.488384246826172,0.7288136117250003,0.4061243844572386,0.38242327139528476,0.4061243844572386,0.9092976265814762,73.6141698912065,188.53650524266212,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
14.115750312805176,0.7627118844945834,0.3507108704461732,0.3646371446617084,0.3507108704461732,0.9934189015437239,80.56035558977621,199.21395594055372,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
14.743117332458496,0.7966102087937501,0.35168670912049255,0.34583383214694907,0.35168670912049255,0.9995602290660012,80.4267121577532,199.9474151435243,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
15.3704833984375,0.8305084815633333,0.3256635990410092,0.3306313464557936,0.3256635990410092,0.9999707814782718,84.14941633236286,199.99661501720388,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
15.99785041809082,0.8644068058625001,0.3074190006128863,0.3258969343571803,0.3074190006128863,0.9999980594641458,86.97177131502777,199.99978066466971,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
16.62521743774414,0.8983051301616669,0.35127613199324464,0.33010509880568784,0.35127613199324464,0.9999998711234082,80.48288760269409,199.9999845970419,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
17.252582550048828,0.9322033514016665,0.3230889563440462,0.3264838674663044,0.3230889563440462,0.9999999914408771,84.53654960372346,199.99999901173413,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
17.87995147705078,0.9661017787600004,0.30872875773537417,0.3233290731259484,0.30872875773537417,0.9999999994315696,86.76286533380404,199.9999999356326,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
18.50731658935547,1.0,0.33811672535571213,0.33024852252769454,0.33811672535571213,0.9999999999622486,82.3258826018015,199.99999999555763,NGC0891,200.0,2.0,1.0,1,0.7,80.0,10.0,ananta-hybrid,2.55
