Galaxy,Regime,n_inner_points,nfw_sigma_baseline,nfw_max_abs_delta_sigma_harmonized,metric_status,notes
UGC06917,balanced,4,0.069034,0.063281,valid,"NFW fit: V200=87.0 km/s, C200=8.79, rs=13.55 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC06930,balanced,4,0.071096,0.065334,valid,"NFW fit: V200=84.8 km/s, C200=9.07, rs=12.81 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC06983,balanced,7,0.061168,0.065177,valid,"NFW fit: V200=81.1 km/s, C200=11.13, rs=9.99 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC07089,baryon-dom,5,0.142713,0.069891,valid,"NFW fit: V200=70.3 km/s, C200=6.00, rs=16.05 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC07151,baryon-dom,5,0.073083,0.047856,valid,"NFW fit: V200=72.2 km/s, C200=6.97, rs=14.19 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC07261,baryon-dom,3,0.044167,0.064227,valid,"NFW fit: V200=67.6 km/s, C200=9.65, rs=9.59 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC07323,balanced,4,0.124191,0.063262,valid,"NFW fit: V200=76.6 km/s, C200=6.16, rs=17.04 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC07577,baryon-dom,4,0.292692,0.082301,valid,"NFW fit: V200=36.0 km/s, C200=3.44, rs=14.32 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC07603,baryon-dom,6,0.085426,0.054845,valid,"NFW fit: V200=56.8 km/s, C200=10.02, rs=7.76 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC07608,balanced,4,0.125174,0.063221,valid,"NFW fit: V200=50.9 km/s, C200=8.36, rs=8.34 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC08286,DM-dom,8,0.079364,0.070019,valid,"NFW fit: V200=61.4 km/s, C200=13.86, rs=6.06 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC08550,balanced,5,0.027561,0.068656,valid,"NFW fit: V200=51.1 km/s, C200=9.30, rs=7.53 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC09037,baryon-dom,10,0.214639,0.038346,valid,"NFW fit: V200=157.7 km/s, C200=5.79, rs=37.32 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC09992,baryon-dom,2,0.130113,0.083230,insufficient_inner_points,"NFW fit: V200=51.2 km/s, C200=9.30, rs=7.55 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC11557,baryon-dom,7,0.448718,0.045577,valid,"NFW fit: V200=84.2 km/s, C200=6.92, rs=16.66 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC11820,balanced,6,0.053818,0.043683,valid,"NFW fit: V200=60.2 km/s, C200=6.09, rs=13.54 kpc; max perturbation scenario: delta_sigma_mass_m20"
UGC11914,balanced,42,0.060247,0.017364,valid,"NFW fit: V200=498.2 km/s, C200=5.46, rs=125.05 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC12632,baryon-dom,7,0.079245,0.091687,valid,"NFW fit: V200=60.0 km/s, C200=9.57, rs=8.59 kpc; max perturbation scenario: delta_sigma_mass_p20"
UGC12732,baryon-dom,8,0.017130,0.077862,valid,"NFW fit: V200=67.0 km/s, C200=7.38, rs=12.43 kpc; max perturbation scenario: delta_sigma_mass_m20"
UGCA444,balanced,17,0.055047,0.092624,valid,"NFW fit: V200=33.0 km/s, C200=7.81, rs=5.79 kpc; max perturbation scenario: delta_sigma_mass_p20"
