name,mafe,best_L,best_mu,max_v_baryon,max_v_kernel,max_v_total,kernel_to_baryon_ratio,kernel_active,inner_overshoot,outer_decay
UGC11914,0.1033669867556151,200.0,10.0,238.38058471679688,275.61939450238526,339.5544342342486,1.156215783386173,True,True,True
UGC07399,0.104960421964809,10.0,200.0,50.29436111450195,98.88377992510318,104.92083827043125,1.9661007264806647,True,True,False
UGC07524,0.1056016636066481,10.0,200.0,50.39329147338867,56.510146129653286,72.09746131233823,1.1213823204919005,True,True,False
UGC04325,0.105695547465233,30.0,500.0,50.133296966552734,81.63995762589244,91.09392815743008,1.6284577828655453,True,True,False
UGC06917,0.1070011413592437,200.0,10.0,69.31075286865233,86.44158426083254,104.22732859289513,1.2471597938727355,True,True,False
UGC02916,0.1130462035479709,200.0,10.0,170.73577880859375,195.10429762527335,248.9769749949509,1.1427264922837195,True,True,True
UGC06930,0.1148365107141412,200.0,10.0,69.6058578491211,90.68474999092125,108.46349788618735,1.3028321579987008,True,True,False
D512-2,0.1148664724177953,10.0,500.0,26.183324813842773,30.444189719842704,37.25448877030352,1.1627320035287219,True,True,False
UGC05764,0.1168562463700065,10.0,500.0,25.534683227539062,49.58895488873358,53.096867179805045,1.9420234998353956,True,True,False
NGC3877,0.1181166000666441,120.0,200.0,164.66033935546875,88.48316477814313,180.06882649392668,0.5373678028631149,True,True,True
NGC0891,0.120054078082999,200.0,10.0,234.0736846923828,215.5533549163461,298.120905531677,0.9208782063631974,True,True,True
UGC04499,0.1200678182025687,10.0,200.0,58.89250183105469,48.59363703196468,71.20224067117252,0.8251243455638134,True,True,True
UGCA444,0.121443786972594,200.0,10.0,18.721122741699215,27.506723435077095,31.74601628033743,1.4692881305568781,True,True,False
F567-2,0.1236734303474749,200.0,10.0,60.099945068359375,3.489918229861221,60.171774458253374,0.058068576034332305,False,False,False
UGC06983,0.1238852053245925,200.0,10.0,69.62942504882812,99.2256013056964,115.18439808264856,1.4250527163783666,True,True,True
UGC09037,0.1241309578713846,200.0,10.0,170.25474548339844,13.516595101111829,170.62440339456177,0.07939041618331769,False,False,True
UGC07577,0.1246532516163742,200.0,10.0,16.14263916015625,3.194963278906764,16.455777061663543,0.19792075181812085,True,False,False
NGC4100,0.1272898499560383,200.0,10.0,176.83546447753906,336.39077138308454,373.26870094570165,1.9022811537094786,True,True,True
NGC2683,0.1303985940291115,30.0,500.0,195.03405761718753,406.4901248047672,431.52171340724,2.084200727662782,True,True,True
NGC0100,0.1323982000038022,200.0,10.0,82.89313507080078,38.06175912536764,87.4644007414379,0.4591666015871915,True,True,True
NGC5005,0.1348532286007484,120.0,10.0,109.74604034423828,295.2091773947829,312.2554066572815,2.689930101066116,True,True,False
NGC4010,0.1364247441604975,30.0,200.0,93.5632553100586,79.89933493784626,115.78691307699364,0.853960613844275,True,True,False
NGC6946,0.1391148655100166,200.0,10.0,179.01016235351562,197.84864516116363,247.1262271858116,1.1052369461039038,True,True,True
NGC0801,0.1392502707137313,80.0,10.0,190.44609069824216,254.71427430646176,308.2031636852408,1.33746129087024,True,True,True
NGC4389,0.1404982157748129,200.0,10.0,83.85028076171875,39.31806380527291,90.87570517016691,0.4689079565160298,True,True,False
NGC2998,0.140795384231316,200.0,10.0,179.5505828857422,221.7182420920211,273.8101001437976,1.2348511407123222,True,True,True
NGC6789,0.1415475923440599,200.0,10.0,55.07004928588867,13.902803519541049,56.797873154914114,0.25245671104027045,True,False,False
F579-V1,0.1423072989630391,200.0,10.0,72.3036880493164,107.67719206729042,124.3020565104316,1.4892351271742417,True,True,True
UGC07089,0.1430218652459202,200.0,10.0,58.680000305175774,41.4486118265518,68.09597984703282,0.7063498911211814,True,True,False
DDO064,0.1449176740182716,200.0,10.0,43.29087066650391,20.231594834936097,45.841918753495165,0.46734090868239775,True,True,False
F561-1,0.150742515824532,10.0,10.0,58.45801162719727,0.005572595167905092,58.45801162719727,9.532645761958268e-05,False,False,False
NGC4217,0.1507560548565288,10.0,200.0,164.24581909179688,184.39094459191008,236.99202035748348,1.1226522879638972,True,True,True
F583-4,0.1542378809959813,10.0,500.0,46.31216812133789,42.94155007345677,60.75105623805499,0.927219601573174,True,True,False
UGC11557,0.1580931518034715,200.0,10.0,84.83355712890625,4.6113745727865405,84.91048884336028,0.054357906574393274,False,False,False
UGC06446,0.1586057153990763,30.0,200.0,66.5936279296875,79.5708368238463,95.41328041990351,1.194871631079489,True,True,True
NGC5371,0.1599289422122157,200.0,200.0,199.71177673339844,246.83202847739295,302.30405986667085,1.2359412775486787,True,True,True
UGC12506,0.1626491840213432,50.0,50.0,178.57284545898435,253.10310395503868,299.1106652166529,1.4173661359569525,True,True,True
UGC05253,0.1658050674878979,120.0,10.0,152.6948699951172,297.94969107561263,326.4001044388283,1.951275056491029,True,True,True
F568-3,0.1685577161874425,200.0,10.0,60.7553825378418,85.2219994206207,100.80224867971212,1.4027069843159945,True,True,False
NGC4559,0.170870560832861,200.0,10.0,138.09555053710935,127.89586824862344,171.4200111733078,0.9261403988121615,True,True,True
NGC4088,0.1713110279104892,200.0,10.0,218.83155822753903,123.42817650634572,241.41234445197156,0.564032799958433,True,True,True
