Galaxy,Regime,V200_kms,C200,rs_kpc,sigma_baseline,n_inner_points,inner_region_defined,delta_sigma_mass_p10,delta_sigma_mass_p20,delta_sigma_mass_m10,delta_sigma_mass_m20,delta_sigma_c_p10,delta_sigma_c_p20,delta_sigma_c_m10,delta_sigma_c_m20,delta_sigma_both_p10,delta_sigma_both_p20,delta_sigma_both_m10,delta_sigma_both_m20,max_abs_delta_sigma,V_bar_over_V_NFW_inner_median
UGC05918,balanced,46.240000,8.750000,7.240000,0.090241,3,True,0.051541,0.101582,-0.045438,-0.036830,-0.009175,-0.016979,0.010874,0.023918,0.041359,0.081625,-0.038550,-0.049575,0.101582,0.400002
UGC05999,DM-dom,71.640000,6.480000,15.140000,0.104563,2,False,0.028726,0.062504,-0.017859,-0.018733,-0.004725,-0.008408,0.006106,0.014080,0.021742,0.046847,-0.015324,-0.020562,0.062504,0.773962
UGC06399,DM-dom,73.100000,8.550000,11.720000,0.111673,4,True,0.037509,0.076790,-0.031582,-0.047631,-0.006381,-0.011738,0.007702,0.017149,0.029772,0.060694,-0.026334,-0.044282,0.076790,0.721882
UGC06628,baryon-dom,74.520000,8.770000,11.640000,0.246044,3,True,0.042159,0.083856,-0.041869,-0.082362,-0.007599,-0.014178,0.008908,0.019543,0.033813,0.067099,-0.033979,-0.067602,0.083856,0.725966
UGC06818,baryon-dom,62.690000,6.890000,12.460000,0.238113,3,True,0.032312,0.065672,-0.030504,-0.058340,-0.006195,-0.011493,0.007362,0.016286,0.025178,0.050837,-0.024328,-0.047374,0.065672,1.025947
UGC06917,balanced,86.950000,8.790000,13.550000,0.069034,4,True,0.030248,0.063281,-0.022997,-0.028873,-0.004890,-0.008923,0.005998,0.013469,0.023947,0.049751,-0.019585,-0.029300,0.063281,0.948705
UGC06930,balanced,84.820000,9.070000,12.810000,0.071096,4,True,0.030995,0.065334,-0.021586,-0.022792,-0.004813,-0.008721,0.005980,0.013505,0.024548,0.051417,-0.018766,-0.025093,0.065334,0.867197
UGC06983,balanced,81.130000,11.130000,9.990000,0.061168,7,True,0.029652,0.065177,-0.011291,0.004238,-0.003617,-0.006295,0.004833,0.011264,0.023608,0.051707,-0.011397,-0.003214,0.065177,0.756906
UGC07089,baryon-dom,70.270000,6.000000,16.050000,0.142713,5,True,0.034600,0.069891,-0.033108,-0.063679,-0.007049,-0.013081,0.008369,0.018500,0.026587,0.053407,-0.025989,-0.050902,0.069891,1.007629
UGC07151,baryon-dom,72.190000,6.970000,14.190000,0.073083,5,True,0.021994,0.047856,-0.015401,-0.021264,-0.003654,-0.006592,0.004610,0.010528,0.016833,0.036124,-0.012909,-0.020128,0.047856,1.186858
UGC07261,baryon-dom,67.630000,9.650000,9.590000,0.044167,3,True,0.029780,0.064227,-0.010898,0.007066,-0.003951,-0.006842,0.005272,0.012225,0.023515,0.050551,-0.011423,-0.001250,0.064227,0.913506
UGC07323,balanced,76.630000,6.160000,17.040000,0.124191,4,True,0.031054,0.063262,-0.029164,-0.055576,-0.006194,-0.011477,0.007382,0.016359,0.023886,0.048306,-0.023006,-0.044715,0.063262,1.107305
UGC07577,baryon-dom,35.990000,3.440000,14.320000,0.292692,4,True,0.041337,0.082301,-0.040968,-0.080497,-0.010647,-0.019770,0.012615,0.027832,0.029611,0.058783,-0.029809,-0.059471,0.082301,0.764939
UGC07603,baryon-dom,56.780000,10.020000,7.760000,0.085426,6,True,0.024262,0.054845,-0.011767,-0.007105,-0.003101,-0.005465,0.004093,0.009545,0.019042,0.042613,-0.010853,-0.010463,0.054845,0.885048
UGC07608,balanced,50.900000,8.360000,8.340000,0.125174,4,True,0.027502,0.063221,-0.009730,0.004889,-0.003437,-0.005874,0.004788,0.011427,0.021031,0.047977,-0.009702,-0.003366,0.063221,0.476651
UGC08286,DM-dom,61.360000,13.860000,6.060000,0.079364,8,True,0.031561,0.070019,-0.010851,0.008034,-0.003460,-0.006027,0.004626,0.010802,0.025532,0.056509,-0.011212,-0.000359,0.070019,0.626692
UGC08550,balanced,51.130000,9.300000,7.530000,0.027561,5,True,0.030550,0.068656,0.010227,0.044080,-0.002227,-0.002610,0.004505,0.011600,0.023527,0.053380,0.005029,0.031347,0.068656,0.770472
UGC09037,baryon-dom,157.680000,5.790000,37.320000,0.214639,10,True,0.018141,0.038346,-0.015746,-0.028881,-0.003533,-0.006497,0.004293,0.009630,0.013730,0.028572,-0.012448,-0.023470,0.038346,1.528227
UGC09992,baryon-dom,51.220000,9.300000,7.550000,0.130113,2,False,0.041757,0.083230,-0.040991,-0.078926,-0.007329,-0.013666,0.008603,0.018885,0.033650,0.066907,-0.033506,-0.065812,0.083230,0.730733
UGC11557,baryon-dom,84.170000,6.920000,16.660000,0.448718,7,True,0.021995,0.045577,-0.019986,-0.037571,-0.004113,-0.007607,0.004929,0.010961,0.017074,0.034999,-0.016007,-0.030729,0.045577,1.407502
UGC11820,balanced,60.160000,6.090000,13.540000,0.053818,6,True,0.011169,0.039606,0.015064,0.043683,0.001160,0.003113,0.000249,0.002808,0.006501,0.025264,0.010030,0.030688,0.043683,0.837331
UGC11914,balanced,498.210000,5.460000,125.050000,0.060247,42,True,0.008043,0.017364,-0.006736,-0.012187,-0.001565,-0.002867,0.001921,0.004337,0.006014,0.012707,-0.005310,-0.009904,0.017364,2.876064
UGC12632,baryon-dom,59.970000,9.570000,8.590000,0.079245,7,True,0.045672,0.091687,-0.035692,-0.024994,-0.007541,-0.013835,0.009088,0.020156,0.036771,0.073800,-0.031226,-0.035341,0.091687,0.535309
UGC12732,baryon-dom,67.000000,7.380000,12.430000,0.017130,8,True,0.028610,0.071138,0.034118,0.077862,0.003319,0.008385,0.001395,0.008910,0.019952,0.052726,0.025477,0.060474,0.077862,0.655629
UGCA444,balanced,33.000000,7.810000,5.790000,0.055047,17,True,0.046014,0.092624,-0.023531,0.014062,-0.007812,-0.013933,0.009756,0.021861,0.036268,0.073113,-0.024158,-0.004230,0.092624,0.544219
