Galaxy,Regime,mond_variant,sigma_baseline,n_inner_points,inner_region_defined,perturbation_label,delta_sigma,V_bar_over_V_MOND_inner_median,notes,max_abs_delta_sigma
DDO161,baryon-dom,Ydisk,0.151803,16,Y,Ydisk_p10,0.003132,0.4468,,0.027822
DDO161,baryon-dom,Ydisk,0.151803,16,Y,Ydisk_m10,-0.003217,0.4468,,0.027822
DDO161,baryon-dom,Ydisk,0.151803,16,Y,Ydisk_p20,0.006183,0.4468,,0.027822
DDO161,baryon-dom,Ydisk,0.151803,16,Y,Ydisk_m20,-0.006523,0.4468,,0.027822
DDO161,baryon-dom,combined,0.151803,16,Y,both_p10,0.012285,0.4468,,0.027822
DDO161,baryon-dom,combined,0.151803,16,Y,both_m10,-0.0133,0.4468,,0.027822
DDO161,baryon-dom,combined,0.151803,16,Y,both_p20,0.023714,0.4468,,0.027822
DDO161,baryon-dom,combined,0.151803,16,Y,both_m20,-0.027822,0.4468,,0.027822
NGC3769,baryon-dom,g_dag,0.036009,9,Y,gdag_p10,0.006318,0.5783,,0.031712
NGC3769,baryon-dom,g_dag,0.036009,9,Y,gdag_m10,-0.005829,0.5783,,0.031712
NGC3769,baryon-dom,g_dag,0.036009,9,Y,gdag_p20,0.012654,0.5783,,0.031712
NGC3769,baryon-dom,g_dag,0.036009,9,Y,gdag_m20,-0.010066,0.5783,,0.031712
NGC3769,baryon-dom,Ydisk,0.036009,9,Y,Ydisk_p10,0.009364,0.5783,,0.031712
NGC3769,baryon-dom,Ydisk,0.036009,9,Y,Ydisk_m10,-0.009255,0.5783,,0.031712
NGC3769,baryon-dom,Ydisk,0.036009,9,Y,Ydisk_p20,0.018428,0.5783,,0.031712
NGC3769,baryon-dom,Ydisk,0.036009,9,Y,Ydisk_m20,-0.016814,0.5783,,0.031712
NGC3769,baryon-dom,combined,0.036009,9,Y,both_p10,0.015994,0.5783,,0.031712
NGC3769,baryon-dom,combined,0.036009,9,Y,both_m10,-0.013338,0.5783,,0.031712
NGC3769,baryon-dom,combined,0.036009,9,Y,both_p20,0.031712,0.5783,,0.031712
NGC3769,baryon-dom,combined,0.036009,9,Y,both_m20,-0.012156,0.5783,,0.031712
NGC3726,baryon-dom,g_dag,0.073806,8,Y,gdag_p10,0.007092,0.6973,,0.040333
NGC3726,baryon-dom,g_dag,0.073806,8,Y,gdag_m10,-0.007625,0.6973,,0.040333
NGC3726,baryon-dom,g_dag,0.073806,8,Y,gdag_p20,0.013713,0.6973,,0.040333
NGC3726,baryon-dom,g_dag,0.073806,8,Y,gdag_m20,-0.015846,0.6973,,0.040333
NGC3726,baryon-dom,Ydisk,0.073806,8,Y,Ydisk_p10,0.01198,0.6973,,0.040333
NGC3726,baryon-dom,Ydisk,0.073806,8,Y,Ydisk_m10,-0.012722,0.6973,,0.040333
NGC3726,baryon-dom,Ydisk,0.073806,8,Y,Ydisk_p20,0.023225,0.6973,,0.040333
NGC3726,baryon-dom,Ydisk,0.073806,8,Y,Ydisk_m20,-0.026,0.6973,,0.040333
NGC3726,baryon-dom,combined,0.073806,8,Y,both_p10,0.019033,0.6973,,0.040333
NGC3726,baryon-dom,combined,0.073806,8,Y,both_m10,-0.020261,0.6973,,0.040333
NGC3726,baryon-dom,combined,0.073806,8,Y,both_p20,0.03672,0.6973,,0.040333
NGC3726,baryon-dom,combined,0.073806,8,Y,both_m20,-0.040333,0.6973,,0.040333
NGC1003,baryon-dom,g_dag,0.031389,17,Y,gdag_p10,0.006454,0.4967,,0.028505
