name,Rd_star,Mstar,hz_star,Rd_gas,Mgas,hz_gas
UGC07151,1.25,1.142e+09,0.25,2.25,819280000.000000,0.15
UGC07232,0.29,56500000.000000,0.06,0.52,61180000.000000,0.15
UGC07261,1.20,876500000.000000,0.24,2.16,1.84604e+09,0.15
UGC07323,2.26,2.0545e+09,0.45,4.07,960260000.000000,0.15
UGC07399,1.64,578000000.000000,0.33,2.95,990850000.000000,0.15
UGC07524,3.46,1.218e+09,0.69,6.23,2.36607e+09,0.15
UGC07559,0.58,54500000.000000,0.12,1.04,224770000.000000,0.15
UGC07577,0.90,22500000.000000,0.18,1.62,58520000.000000,0.15
UGC07603,0.53,188000000.000000,0.11,0.95,343140000.000000,0.15
UGC07608,1.50,132000000.000000,0.30,2.70,711550000.000000,0.15
UGC07690,0.57,429000000.000000,0.11,1.03,518700000.000000,0.15
UGC07866,0.61,62000000.000000,0.12,1.10,156940000.000000,0.15
UGC08286,1.05,627500000.000000,0.21,1.89,853860000.000000,0.15
UGC08490,0.67,508500000.000000,0.13,1.21,957600000.000000,0.15
UGC08550,0.45,144500000.000000,0.09,0.81,383040000.000000,0.15
UGC08699,3.09,2.5151e+10,0.62,5.56,4.97154e+09,0.15
UGC08837,1.72,250500000.000000,0.34,3.10,425600000.000000,0.15
UGC09037,4.28,3.4307e+10,0.86,7.70,2.53737e+10,0.15
UGC09133,6.97,1.41463e+11,1.39,12.55,4.44592e+10,0.15
UGC09992,1.04,168000000.000000,0.21,1.87,422940000.000000,0.15
UGC10310,1.80,870500000.000000,0.36,3.24,1.59068e+09,0.15
UGC11455,5.93,1.87161e+11,1.19,10.67,1.77356e+10,0.15
UGC11557,2.75,6.0505e+09,0.55,4.95,3.46465e+09,0.15
UGC11820,2.08,485000000.000000,0.42,3.74,2.62941e+09,0.15
UGC11914,2.44,7.5014e+10,0.49,4.39,1.18104e+09,0.15
UGC12506,7.38,6.97855e+10,1.48,13.28,4.72895e+10,0.15
UGC12632,2.42,650500000.000000,0.48,4.36,2.31952e+09,0.15
UGC12732,1.98,833500000.000000,0.40,3.56,4.8678e+09,0.15
UGCA281,1.72,97000000.000000,0.34,3.10,82460000.000000,0.15
UGCA442,1.18,70000000.000000,0.24,2.12,349790000.000000,0.15
UGCA444,0.83,6000000.000000,0.17,1.49,89110000.000000,0.15
